"","raceE1","genderE1","turnoutE1","voteTE1","race","turnout","gender","weightx"
"1","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"2","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"3","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"4","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"5","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"6","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"7","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"8","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"9","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"10","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"11","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"12","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"13","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"14","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"15","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"16","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"17","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"18","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"19","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"20","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"21","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"22","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"23","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"24","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"25","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"26","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"27","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"28","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"29","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"30","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"31","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"32","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"33","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"34","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"35","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"36","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"37","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"38","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"39","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"40","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"41","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"42","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"43","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"44","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"45","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"46","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"47","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"48","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"49","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"50","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"51","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"52","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"53","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"54","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"55","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"56","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"57","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"58","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"59","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"60","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"61","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"62","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"63","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"64","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"65","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"66","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"67","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"68","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"69","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"70","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"71","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"72","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"73","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"74","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
